"Country","Date","FC.rating.long","FC.rating.short","FC.rating.outlook","LC.rating.long","LC.rating.outlook"
"Abu Dhabi",2007-07-02,"AA","F1+","Stable","AA","Stable"
"Angola",2012-05-23,"BB-","B","Positive","BB-","Positive"
"Angola",2011-05-24,"BB-","B","Stable","BB-","Stable"
"Angola",2010-05-19,"B+","B","Positive","B+","Positive"
"Argentina",2010-07-12,"B","B","Stable","B","Stable"
"Argentina",2008-12-18,"RD","B","-","B-","Stable"
"Argentina",2006-08-01,"RD","B","-","B","Stable"
"Argentina",2005-12-14,"RD","B","-","B-","Stable"
"Argentina",2005-06-03,"RD","B","-","B-","Stable"
"Argentina",2005-01-14,"D","D","-","B-","Stable"
"Argentina",2004-06-17,"RD","D","-","B-","Stable"
"Argentina",2004-04-26,"RD","C","-","B-","Stable"
"Argentina",2002-01-04,"RD","C","-","C","-"
"Argentina",2001-12-03,"RD","D","-","RD","-"
"Argentina",2001-11-06,"C","C","Rating Watch Negative","C","Rating Watch Negative"
"Argentina",2001-11-02,"CC","C","Rating Watch Negative","CC","Rating Watch Negative"
"Argentina",2001-10-12,"CCC-","C","Negative","CCC-","Negative"
"Argentina",2001-07-11,"B-","B","Negative","B-","Negative"
"Argentina",2001-03-28,"B+","B","Rating Watch Negative","B+","Rating Watch Negative"
"Argentina",2001-03-20,"BB-","B","Rating Watch Negative","BB","Rating Watch Negative"
"Argentina",2000-09-21,"BB","B","Negative","BB+","Negative"
"Argentina",1997-12-03,"BB","B","-","BB+","-"
"Argentina",1997-05-28,"BB","B","-","-","-"
"Armenia",2009-08-13,"BB-","B","Stable","BB-","Stable"
"Armenia",2008-07-03,"BB","B","Stable","BB","Stable"
"Armenia",2007-05-01,"BB-","B","Positive","BB-","Positive"
"Armenia",2006-05-24,"BB-","B","Stable","BB-","Stable"
"Aruba",2006-06-08,"BBB","F3","Stable","BBB","Stable"
"Aruba",2003-06-12,"BBB","F3","Negative","BBB","Negative"
"Aruba",2002-04-29,"BBB","F3","Stable","BBB","Stable"
"Australia",2011-11-28,"AAA","F1+","Stable","AAA","Stable"
"Australia",2003-02-03,"AA+","F1+","Stable","AAA","Stable"
"Australia",2000-09-21,"AA","F1+","Stable","AAA","Stable"
"Australia",1998-11-19,"AA","F1+","-","AAA","-"
"Australia",1998-06-18,"AA","F1+","Rating Watch Negative","AAA","Rating Watch Negative"
"Australia",1996-01-25,"AA","F1+","-","AAA","-"
"Austria",2000-09-21,"AAA","F1+","Stable","AAA","Stable"
"Austria",1995-10-26,"AAA","F1+","-","AAA","-"
"Austria",1994-08-10,"AAA","-","-","-","-"
"Azerbaijan",2012-05-11,"BBB-","F3","Stable","BBB-","Stable"
"Azerbaijan",2011-05-17,"BBB-","F3","Positive","BBB-","Positive"
"Azerbaijan",2010-05-20,"BBB-","F3","Stable","BBB-","Stable"
"Azerbaijan",2007-02-05,"BB+","B","Stable","BB+","Stable"
"Azerbaijan",2004-11-22,"BB","B","Stable","BB","Stable"
"Azerbaijan",2002-07-25,"BB-","B","Positive","BB-","Positive"
"Azerbaijan",2001-07-20,"BB-","B","Stable","BB-","Stable"
"Azerbaijan",2000-09-21,"B+","B","Positive","BB-","Positive"
"Azerbaijan",2000-07-03,"B+","B","-","BB-","-"
"Bahrain",2011-08-03,"BBB","F3","Stable","BBB+","Stable"
"Bahrain",2011-03-15,"BBB","F3","Rating Watch Negative","BBB+","Rating Watch Negative"
"Bahrain",2011-03-03,"A-","F1","Negative","A","Negative"
"Bahrain",2011-02-17,"A","F1","Rating Watch Negative","A+","Rating Watch Negative"
"Bahrain",2007-08-24,"A","F1","Stable","A+","Stable"
"Bahrain",2006-08-17,"A-","F1","Positive","A","Positive"
"Bahrain",2003-01-10,"A-","F1","Stable","A","Stable"
"Bahrain",2002-12-16,"BBB","F3","Rating Watch Positive","BBB+","Rating Watch Positive"
"Bahrain",2001-11-27,"BBB","F3","Stable","BBB+","Stable"
"Bahrain",2000-09-21,"BBB-","F3","Stable","BBB+","Stable"
"Bahrain",2000-02-16,"BBB-","F3","-","BBB+","-"
"Belgium",2012-01-27,"AA","F1+","Negative","AA","Negative"
"Belgium",2011-12-16,"AA+","F1+","Rating Watch Negative","AA+","Rating Watch Negative"
"Belgium",2011-05-23,"AA+","F1+","Negative","AA+","Negative"
"Belgium",2006-05-02,"AA+","F1+","Stable","AA+","Stable"
"Belgium",2002-06-17,"AA","F1+","Stable","AA","Stable"
"Belgium",2000-09-21,"AA-","F1+","Stable","AA-","Stable"
"Belgium",1998-12-16,"AA-","F1+","-","AA-","-"
"Belgium",1998-07-14,"AA+","F1+","-","AA+","-"
"Belgium",1995-10-26,"AA+","F1+","-","AAA","-"
"Belgium",1994-08-10,"AA+","-","-","-","-"
"Benin",2012-01-25,"withdrawn","withdrawn","Withdrawn","withdrawn","Withdrawn"
"Benin",2004-09-15,"B","B","Stable","B","Stable"
"Bermuda",2012-06-26,"AA","F1+","Stable","AA+","Stable"
"Bermuda",2006-08-11,"AA+","F1+","Stable","AAA","Stable"
"Bermuda",2000-09-21,"AA","F1+","Stable","AAA","Stable"
"Bermuda",1995-10-26,"AA","F1+","-","AAA","-"
"Bermuda",1994-08-10,"AA","-","-","-","-"
"Bolivia",2010-10-05,"B+","B","Stable","B+","Stable"
"Bolivia",2009-09-08,"B","B","Stable","B","Stable"
"Bolivia",2007-07-27,"B-","B","Stable","B-","Stable"
"Bolivia",2005-06-17,"B-","B","Negative","B-","Negative"
"Bolivia",2004-03-17,"B-","B","Stable","B-","Stable"
"Brazil",2011-04-04,"BBB","F2","Stable","BBB","Stable"
"Brazil",2010-06-28,"BBB-","F3","Positive","BBB-","Positive"
"Brazil",2008-05-29,"BBB-","F3","Stable","BBB-","Stable"
"Brazil",2007-05-09,"BB+","B","Stable","BB+","Stable"
"Brazil",2007-02-05,"BB","B","Positive","BB","Positive"
"Brazil",2006-06-28,"BB","B","Stable","BB","Stable"
"Brazil",2005-10-11,"BB-","B","Positive","BB-","Positive"
"Brazil",2004-09-28,"BB-","B","Stable","BB-","Stable"
"Brazil",2003-11-06,"B+","B","Stable","B+","Stable"
"Brazil",2003-06-03,"B","B","Positive","B","Positive"
"Brazil",2003-03-10,"B","B","Stable","B","Stable"
"Brazil",2002-10-21,"B","B","Negative","B","Negative"
"Brazil",2002-08-01,"B+","B","Rating Watch Negative","B+","Rating Watch Negative"
"Brazil",2002-06-20,"B+","B","Negative","B+","Negative"
"Brazil",2001-07-17,"BB-","B","Negative","B+","Negative"
"Brazil",2000-09-21,"BB-","B","Stable","B+","Stable"
"Brazil",2000-05-19,"BB-","B","-","B+","-"
"Brazil",2000-02-22,"B+","B","-","B+","-"
"Brazil",1999-01-26,"B","B","-","B","-"
"Brazil",1997-12-03,"B+","B","-","BB-","-"
"Brazil",1995-10-26,"B+","B","-","-","-"
"Brazil",1994-12-01,"B+","-","-","-","-"
"Bulgaria",2011-12-13,"BBB-","F3","Stable","BBB","Stable"
"Bulgaria",2011-05-24,"BBB-","F3","Positive","BBB","Positive"
"Bulgaria",2009-04-30,"BBB-","F3","Negative","BBB","Negative"
"Bulgaria",2008-11-09,"BBB-","F3","Stable","BBB","Stable"
"Bulgaria",2008-01-30,"BBB","F3","Negative","BBB+","Negative"
"Bulgaria",2005-08-17,"BBB","F3","Stable","BBB+","Stable"
"Bulgaria",2004-08-04,"BBB-","F3","Stable","BBB","Stable"
"Bulgaria",2003-07-24,"BB+","B","Positive","BBB-","Positive"
"Bulgaria",2002-10-29,"BB","B","Positive","BB+","Positive"
"Bulgaria",2002-01-14,"BB-","B","Stable","BB","Stable"
"Bulgaria",2000-09-21,"B+","B","Positive","BB","Positive"
"Bulgaria",1998-04-17,"B+","B","-","BB","-"
"Cameroon",2012-05-30,"B","B","Stable","B","Stable"
"Cameroon",2007-03-06,"B","B","Stable","B-","Stable"
"Cameroon",2006-06-12,"B","B","Stable","CCC","Positive"
"Cameroon",2005-12-21,"B-","B","Positive","CCC","Positive"
"Cameroon",2005-11-04,"B-","B","Positive","CCC+","Positive"
"Cameroon",2005-02-15,"B-","B","Stable","CCC+","Stable"
"Cameroon",2004-07-05,"B","B","Rating Watch Negative","B","Rating Watch Negative"
"Cameroon",2003-09-04,"B","B","Stable","B","Stable"
"Canada",2004-08-12,"AAA","F1+","Stable","AAA","Stable"
"Canada",2001-04-03,"AA+","F1+","Stable","AAA","Stable"
"Canada",2000-09-21,"AA","F1+","Stable","AAA","Stable"
"Canada",1995-10-26,"AA","F1+","-","AAA","-"
"Canada",1994-08-10,"AA","-","-","-","-"
"Cape Verde",2009-06-22,"B+","B","Stable","BB-","Stable"
"Cape Verde",2008-03-11,"B+","B","Positive","BB-","Positive"
"Cape Verde",2003-08-15,"B+","B","Stable","BB-","Stable"
"Chile",2011-02-01,"A+","F1","Stable","AA-","Stable"
"Chile",2008-11-10,"A","F1","Stable","A+","Stable"
"Chile",2007-05-15,"A","F1","Positive","A+","Positive"
"Chile",2005-03-28,"A","F1","Stable","A+","Stable"
"Chile",2004-02-02,"A-","F1","Positive","A+","Stable"
"Chile",2003-02-24,"A-","F1","Stable","A+","Stable"
"Chile",2000-09-21,"A-","F1","Stable","AA-","Stable"
"Chile",1997-12-03,"A-","F1","-","AA-","-"
"Chile",1996-11-25,"A-","F1","-","AA","-"
"Chile",1995-10-26,"A-","F1","-","-","-"
"Chile",1995-08-30,"A-","-","-","-","-"
"Chile",1994-11-10,"BBB+","-","-","-","-"
"China",2011-04-12,"A+","F1","Stable","AA-","Negative"
"China",2007-11-06,"A+","F1","Stable","AA-","Stable"
"China",2006-09-13,"A","F1","Positive","A+","Positive"
"China",2005-10-17,"A","F1","Stable","A+","Stable"
"China",2003-10-13,"A-","F1","Positive","A","Stable"
"China",2001-12-06,"A-","F1","Stable","A","Stable"
"China",2000-09-21,"A-","F1","Stable","-","Stable"
"China",1998-12-22,"A-","F1","-","-","-"
"China",1997-12-11,"A-","-","-","-","-"
"Colombia",2011-06-22,"BBB-","F3","Stable","BBB","Stable"
"Colombia",2010-10-21,"BB+","B","Positive","BBB-","Positive"
"Colombia",2007-06-21,"BB+","B","Stable","BBB-","Stable"
"Colombia",2006-06-05,"BB","B","Positive","BBB-","Stable"
"Colombia",2004-05-03,"BB","B","Stable","BBB-","Stable"
"Colombia",2002-08-29,"BB","B","Negative","BBB-","Negative"
"Colombia",2002-01-10,"BB","B","Stable","BBB-","Stable"
"Colombia",2000-10-24,"BB+","B","Negative","BBB","Negative"
"Colombia",2000-09-21,"BB+","B","Stable","BBB","Stable"
"Colombia",2000-03-17,"BB+","B","-","BBB","-"
"Colombia",1999-09-01,"BBB-","F3","-","BBB+","-"
"Colombia",1998-03-20,"BBB","F3","-","A-","-"
"Colombia",1994-08-10,"BBB","-","-","-","-"
"Costa Rica",2011-03-04,"BB+","B","Stable","BB+","Stable"
"Costa Rica",2006-10-04,"BB","B","Stable","BB+","Stable"
"Costa Rica",2003-04-28,"BB","B","Negative","BB+","Negative"
"Costa Rica",2000-09-21,"BB","B","Stable","BB+","Stable"
"Costa Rica",1998-05-11,"BB","B","-","BB+","-"
"Croatia",2009-05-21,"BBB-","F3","Negative","BBB","Negative"
"Croatia",2005-07-06,"BBB-","F3","Stable","BBB+","Stable"
"Croatia",2003-07-08,"BBB-","F3","Positive","BBB+","Positive"
"Croatia",2001-06-28,"BBB-","F3","Stable","BBB+","Stable"
"Croatia",2000-09-21,"BB+","B","Positive","BBB","Positive"
"Croatia",1999-04-29,"BB+","B","-","BBB","-"
"Croatia",1997-01-17,"BBB-","F3","-","A-","-"
"Cyprus",2012-06-25,"BB+","B","Negative","BB+","Negative"
"Cyprus",2012-01-27,"BBB-","F3","Negative","BBB-","Negative"
"Cyprus",2011-12-16,"BBB","F3","Rating Watch Negative","BBB","Rating Watch Negative"
"Cyprus",2011-08-10,"BBB","F3","Negative","BBB","Negative"
"Cyprus",2011-05-31,"A-","F1","Negative","A-","Negative"
"Cyprus",2007-07-12,"AA-","F1+","Rating Watch Negative","AA-","Rating Watch Negative"
"Cyprus",2003-11-04,"A+","F1","Positive","AA","Stable"
"Cyprus",2002-02-01,"A+","F1","Stable","AA","Stable"
"Czech Republic",2011-12-13,"A+","F1","Stable","AA-","Stable"
"Czech Republic",2010-06-04,"A+","F1","Positive","AA-","Positive"
"Czech Republic",2008-03-04,"A+","F1","Stable","AA-","Stable"
"Czech Republic",2005-08-26,"A","F1","Stable","A+","Stable"
"Czech Republic",2003-06-20,"A-","F2","Stable","A","Stable"
"Czech Republic",2001-03-28,"BBB+","F2","Stable","A","Stable"
"Czech Republic",2000-09-21,"BBB+","F2","Stable","A+","Stable"
"Czech Republic",1998-12-22,"BBB+","F2","-","A+","-"
"Czech Republic",1997-11-24,"BBB+","F2","-","AA-","-"
"Czech Republic",1995-10-26,"A-","F1","-","-","-"
"Czech Republic",1995-08-10,"A-","-","-","-","-"
"Denmark",2003-11-10,"AAA","F1+","Stable","AAA","Stable"
"Denmark",2000-09-29,"AA+","F1+","Stable","AAA","Stable"
"Denmark",2000-09-21,"AA+","F1+","Positive","AAA","Positive"
"Denmark",1995-10-26,"AA+","F1+","-","AAA","-"
"Denmark",1994-08-10,"AA+","-","-","-","-"
"Dominican Republic",2011-01-05,"B","B","Positive","B","Positive"
"Dominican Republic",2008-09-25,"B","B","Stable","B","Stable"
"Dominican Republic",2006-09-26,"B","B","Positive","B","Positive"
"Dominican Republic",2006-05-05,"B","B","Stable","B","Stable"
"Dominican Republic",2005-07-19,"B-","B","Stable","B","Stable"
"Dominican Republic",2005-05-11,"RD","D","-","B","Stable"
"Dominican Republic",2005-05-05,"RD","D","-","CCC+","Rating Watch Positive"
"Dominican Republic",2005-04-21,"C","C","Rating Watch Negative","CCC+","Rating Watch Negative"
"Dominican Republic",2004-01-30,"CCC+","C","Rating Watch Negative","CCC+","Rating Watch Negative"
"Dominican Republic",2003-10-24,"B","B","Rating Watch Negative","B","Rating Watch Negative"
"Dominican Republic",2003-10-08,"B+","B","Rating Watch Negative","B+","Rating Watch Negative"
"Dominican Republic",2003-08-11,"B+","B","Stable","B+","Stable"
"Ecuador",2010-11-08,"B-","B","Stable","-","-"
"Ecuador",2009-09-04,"CCC","C","Stable","-","-"
"Ecuador",2008-12-16,"RD","D","-","-","-"
"Ecuador",2008-11-17,"CCC","C","Rating Watch Negative","-","-"
"Ecuador",2007-10-30,"CCC","C","Stable","-","-"
"Ecuador",2007-01-23,"CCC","C","Rating Watch Negative","-","-"
"Ecuador",2005-08-29,"B-","B","Negative","-","-"
"Ecuador",2004-10-07,"B-","B","Stable","-","-"
"Ecuador",2003-09-26,"CCC+","C","Stable","-","-"
"Ecuador",2003-03-24,"CCC+","C","Positive","-","-"
"Ecuador",2002-11-08,"CCC+","C","Stable","-","-"
"Egypt",2012-06-15,"B+","B","Negative","B+","Negative"
"Egypt",2011-12-30,"BB-","B","Negative","BB","Negative"
"Egypt",2011-06-28,"BB","B","Negative","BB+","Negative"
"Egypt",2011-02-03,"BB","B","Rating Watch Negative","BB+","Rating Watch Negative"
"Egypt",2011-01-28,"BB+","B","Negative","BBB-","Negative"
"Egypt",2008-08-18,"BB+","B","Stable","BBB-","Stable"
"Egypt",2007-06-18,"BB+","B","Positive","BBB","Stable"
"Egypt",2004-12-15,"BB+","B","Stable","BBB","Stable"
"Egypt",2003-12-02,"BB+","B","Stable","BBB","Negative"
"Egypt",2002-08-21,"BB+","B","Stable","BBB","Stable"
"Egypt",2002-01-22,"BBB-","F3","Negative","BBB+","Negative"
"Egypt",2001-08-22,"BBB-","F3","Stable","BBB+","Stable"
"Egypt",2000-09-21,"BBB-","F3","Stable","A-","Stable"
"Egypt",1997-08-19,"BBB-","F3","-","A-","-"
"El Salvador",2012-07-24,"BB","B","Negative","BB","Negative"
"El Salvador",2011-07-29,"BB","B","Stable","BB","Stable"
"El Salvador",2009-06-18,"BB","B","Negative","BB","Negative"
"El Salvador",2008-10-13,"BB+","B","Negative","BB+","Negative"
"El Salvador",2005-01-31,"BB+","B","Stable","BB+","Stable"
"El Salvador",2002-08-21,"BB+","B","Negative","BB+","Negative"
"El Salvador",2001-08-16,"BB+","B","Stable","BB+","Stable"
"El Salvador",2000-09-21,"BB+","B","Stable","BBB","Stable"
"El Salvador",2000-05-08,"BB+","B","-","BBB","-"
"El Salvador",1998-05-05,"BB+","B","-","A-","-"
"El Salvador",1996-09-23,"BB","B","-","A-","-"
"Estonia",2011-07-05,"A+","F1","Stable","A+","Stable"
"Estonia",2010-07-19,"A","F1","Stable","A","Stable"
"Estonia",2010-03-30,"BBB+","F2","Rating Watch Positive","A-","Rating Watch Positive"
"Estonia",2010-02-05,"BBB+","F2","Stable","A-","Stable"
"Estonia",2009-04-08,"BBB+","F2","Negative","A-","Negative"
"Estonia",2008-10-03,"A-","F1","Negative","A","Negative"
"Estonia",2008-01-31,"A","F1","Negative","A+","Negative"
"Estonia",2006-08-31,"A","F1","Stable","A+","Stable"
"Estonia",2004-07-07,"A","F1","Positive","A+","Stable"
"Estonia",2003-10-22,"A-","F1","Positive","A+","Stable"
"Estonia",2001-08-30,"A-","F1","Stable","A+","Stable"
"Estonia",2001-07-30,"BBB+","F2","Rating Watch Positive","A","Rating Watch Positive"
"Estonia",2000-09-28,"BBB+","F2","Stable","A","Stable"
"Estonia",2000-08-07,"BBB","F3","Rating Watch Positive","A","Rating Watch Positive"
"Estonia",1997-09-11,"BBB","F3","-","A","-"
"Finland",2000-09-21,"AAA","F1+","Stable","AAA","Stable"
"Finland",1998-08-05,"AAA","F1+","-","AAA","-"
"Finland",1998-07-14,"AA+","F1+","-","AA+","-"
"Finland",1997-04-29,"AA+","F1+","-","AAA","-"
"Finland",1996-03-12,"AA","F1+","-","AAA","-"
"Finland",1995-10-26,"AA-","F1+","-","AAA","-"
"Finland",1994-08-10,"AA-","-","-","-","-"
"France",2011-12-16,"AAA","F1+","Negative","AAA","Negative"
"France",2000-09-21,"AAA","F1+","Stable","AAA","Stable"
"France",1995-10-26,"AAA","F1+","-","AAA","-"
"France",1994-08-10,"AAA","-","-","-","-"
"Gabon",2012-04-05,"BB-","B","Positive","BB-","Positive"
"Gabon",2007-10-29,"BB-","B","Stable","BB-","Stable"
"Gambia",2007-07-06,"-","-","-","-","-"
"Gambia",2005-12-21,"CCC","C","Stable","CCC","Stable"
"Gambia",2005-01-26,"CCC+","C","Stable","CCC+","Stable"
"Gambia",2002-11-11,"B-","B","Stable","B-","Stable"
"Georgia",2011-12-15,"BB-","B","Stable","BB-","Stable"
"Georgia",2011-03-03,"B+","B","Positive","B+","Positive"
"Georgia",2009-08-26,"B+","B","Stable","B+","Stable"
"Georgia",2009-04-07,"B+","B","Rating Watch Negative","B+","Rating Watch Negative"
"Georgia",2008-08-08,"B+","B","Negative","B+","Negative"
"Georgia",2007-07-18,"BB-","B","Stable","BB-","Stable"
"Germany",2000-09-21,"AAA","F1+","Stable","AAA","Stable"
"Germany",1995-10-26,"AAA","F1+","-","AAA","-"
"Germany",1994-08-10,"AAA","-","-","-","-"
"Ghana",2010-09-24,"B+","B","Stable","B+","Stable"
"Ghana",2009-03-03,"B+","B","Negative","B+","Negative"
"Ghana",2008-02-07,"B+","B","Stable","B+","Stable"
"Ghana",2006-02-01,"B+","B","Positive","B+","Positive"
"Ghana",2005-03-17,"B+","B","Stable","B+","Stable"
"Ghana",2003-12-02,"B","B","Positive","B","Positive"
"Greece",2012-05-17,"CCC","C","-","CCC","-"
"Greece",2012-03-13,"B-","B","Stable","B-","Stable"
"Greece",2012-03-09,"RD","C","-","RD","-"
"Greece",2012-02-22,"C","C","-","C","-"
"Greece",2011-07-13,"CCC","C","-","CCC","-"
"Greece",2011-05-20,"B+","B","Rating Watch Negative","B+","Rating Watch Negative"
"Greece",2011-01-14,"BB+","B","Negative","BB+","Negative"
"Greece",2010-12-21,"BBB-","F2","Rating Watch Negative","BBB-","Rating Watch Negative"
"Greece",2010-04-09,"BBB-","F2","Negative","BBB-","Negative"
"Greece",2009-12-08,"BBB+","F2","Negative","BBB+","Negative"
"Greece",2009-10-22,"A-","F1","Negative","A-","Negative"
"Greece",2009-05-12,"A","F1","Negative","A","Negative"
"Greece",2008-10-20,"A","F1","Stable","A","Stable"
"Greece",2007-03-05,"A","F1","Positive","A","Positive"
"Greece",2004-12-16,"A","F1","Stable","A","Stable"
"Greece",2004-09-28,"A+","F1","Rating Watch Negative","A+","Rating Watch Negative"
"Greece",2003-10-20,"A+","F1","Stable","A+","Stable"
"Greece",2002-10-23,"A","F1","Positive","A","Positive"
"Greece",2001-06-20,"A","F1","Stable","A","Stable"
"Greece",2000-09-21,"A-","F1","Stable","A-","Stable"
"Greece",2000-07-27,"A-","F1","-","A-","-"
"Greece",2000-03-13,"BBB+","F2","Rating Watch Positive","A-","Rating Watch Positive"
"Greece",1999-10-25,"BBB+","F2","-","A-","-"
"Greece",1999-08-10,"BBB","F3","Rating Watch Positive","-","Rating Watch Positive"
"Greece",1997-06-04,"BBB","F3","-","-","-"
"Greece",1995-11-13,"BBB-","F3","-","-","-"
"Guatemala",2006-02-22,"BB+","B","Stable","BB+","Stable"
"Hong Kong",2010-11-26,"AA+","F1+","Stable","AA+","Stable"
"Hong Kong",2007-07-12,"AA","F1+","Stable","AA+","Stable"
"Hong Kong",2006-07-24,"AA-","F1+","Positive","AA+","Stable"
"Hong Kong",2004-05-16,"AA-","F1+","Stable","AA+","Stable"
